,Posted.On,BHK,Size,Floor,Area.Type,Area.Locality,City,Furnishing.Status,Tenant.Preferred,Bathroom,Point.of.Contact,Rent,Abby,Adamgosmire,Addy,Akin_Mitu,Burkhalter,Daria,DeYoung,Lucas_Nick,Ternes,Trey,Will
27,6/20/2022,1,550,1 out of 7,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4.204119983,4.084151452,4.113943352,4.091515337,4.068135411,4.080605887,4.049698841,4.076888972,4.273522929,4.06378344,4.08898028,4.220775739
28,6/24/2022,2,1300,Ground out of 3,Carpet Area,"Ramanthapur, NH 2 2",Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,4.113943352,4.162266567,4.235528447,4.167602354,4.173737269,4.177662765,4.178655837,4.180753657,4.192235802,4.180547552,4.18280934,4.254040809
29,4/29/2022,2,900,1 out of 3,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.176091259,4.10214619,4.204119983,4.038371988,4.070510154,4.059124978,4.059832105,4.087043875,4.025527151,4.086002054,4.088792035,4.079198379
30,4/28/2022,1,540,2 out of 3,Super Area,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4.556302501,4.372489802,4.440909082,4.290380958,4.361377723,4.297426701,4.304977305,4.351157842,4.453319614,4.403046102,4.337276894,4.384662324
31,6/29/2022,2,750,Ground out of 1,Super Area,Kovur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,3.903089987,4.040251981,4.155336037,4.034735009,4.073913022,4.058727896,4.077034244,4.057408531,4.037607698,4.079710179,4.049449015,4.085612621
32,4/28/2022,2,900,2 out of 4,Super Area,Sheikh Sarai Phase 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,4.477121255,4.242144093,4.204119983,4.150859803,4.185722044,4.196107704,4.191345392,4.195000812,4.446266508,4.240031532,4.187845121,4.143597165
33,5/20/2022,3,2400,1 out of 3,Carpet Area,"R.A Puram, Mandaiveli",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent,4.954242509,4.528540086,4.330413773,4.534896207,4.791079779,4.699605974,4.743690113,4.720076813,4.884426028,4.750480831,4.727607706,4.626778305
34,7/4/2022,1,424,16 out of 23,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.380211242,4.401356236,4.389166084,4.540285053,4.50234165,4.489127107,4.450301068,4.557367074,4.413717294,4.569005691,4.538414351,4.500756692
35,5/20/2022,3,1402,2 out of 4,Carpet Area,Polacheri,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.176091259,4.392363561,4.330413773,4.316192268,4.416475444,4.379904006,4.377004868,4.385093164,4.345494592,4.41952954,4.403992388,4.395288579
36,6/20/2022,2,800,1 out of 2,Super Area,"KK Nagar West, KK Nagar",Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,4.095179737,4.139879086,4.097251501,4.122746394,4.100811135,4.128359501,4.108408359,4.046115053,4.092502361,4.114637959,4.159570453
37,6/15/2022,2,650,Ground out of 4,Carpet Area,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.113943352,3.935118542,4.06069784,4.09203421,3.968915509,3.987341735,3.978692145,3.968265513,4.034877147,4.009048836,3.978350252,4.10382029
38,6/26/2022,2,392,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.698970004,3.862125116,3.62324929,3.895914275,3.803248728,3.825084647,3.827266805,3.812044768,3.781290805,3.782625254,3.805689789,3.94174344
39,6/20/2022,2,809,1 out of 2,Super Area,"Chromepet, GST Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,3.903089987,4.066277931,4.093421685,4.098726242,4.086287155,4.068601151,4.087163256,4.068158133,4.084542198,4.051469868,4.073109563,4.125628424
40,5/5/2022,3,1500,2 out of 3,Super Area,Rajouri Garden,Delhi,Furnished,Bachelors/Family,3,Contact Owner,4.84509804,4.42065166,4.330413773,4.397057852,4.601096844,4.593051556,4.575052027,4.586156847,4.62587337,4.592198446,4.589377559,4.433129834
41,6/16/2022,2,800,3 out of 7,Carpet Area,"Shimpla Vighnaharta CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent,4.73239376,4.616187043,4.46834733,4.641487071,4.675462132,4.631972241,4.662783341,4.613581569,4.814810733,4.641310738,4.61929728,4.603241845
42,5/31/2022,3,1670,3 out of 4,Super Area,Model Town,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.698970004,4.523025616,4.330413773,4.347214984,4.553032731,4.538684394,4.537469721,4.535358867,4.819655127,4.493964032,4.538991841,4.440588548
43,7/2/2022,3,1100,1 out of 2,Carpet Area,independent Apartment dhandeeshwatam nagar velachery,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4.301029996,4.266042013,4.167317335,4.192681409,4.241580496,4.208030085,4.231282646,4.23772031,4.222207143,4.230942182,4.234071324,4.252870354
44,5/9/2022,3,1200,2 out of 3,Super Area,Toli Chowki,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.281788983,4.227886705,4.231736979,4.247025764,4.216132052,4.255005374,4.237208614,4.317939263,4.243416059,4.244265698,4.298653199
45,5/19/2022,3,1650,2 out of 14,Super Area,Vadapalani,Chennai,Semi-Furnished,Family,3,Contact Agent,4.568201724,4.495482764,4.330413773,4.564067543,4.633781479,4.666925521,4.609836365,4.555274625,4.60861873,4.554726741,4.57840394,4.550500768
46,7/6/2022,2,1000,1 out of 3,Super Area,Iyyappanthangal,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,4.176091259,4.133275772,4.155336037,4.1436345,4.126345789,4.100830863,4.120448511,4.124703785,4.132128349,4.13471932,4.106223745,4.154383104
47,7/2/2022,2,800,2 out of 3,Super Area,Mehdipatnam,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.176091259,4.036598052,4.079181246,4.12483688,4.030524918,4.024362494,4.048051523,4.048592537,4.091046062,4.026472437,4.031444334,4.132536514
48,6/16/2022,2,650,15 out of 24,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Unfurnished,Family,2,Contact Agent,4.763427994,4.534014367,4.431363764,4.688066543,4.644002472,4.563005426,4.624825071,4.635269683,4.742801571,4.660422461,4.645222514,4.535562231
49,6/10/2022,2,740,1 out of 2,Super Area,Chitlapakkam,Chennai,Unfurnished,Family,2,Contact Owner,3.954242509,4.045713493,4.041392685,4.086974296,4.071815712,4.073020428,4.075324464,4.023346883,4.013792704,4.027394363,4.027386307,4.111490339
50,5/27/2022,1,440,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4.146128036,4.033317586,3.977723605,4.051804868,4.045064993,4.062606501,4.031348959,4.061728952,4.158569833,4.060971383,4.06921105,4.222155103
51,5/16/2022,1,520,3 out of 5,Super Area,"New Boiguda, Boiguda",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.903089987,3.918022334,3.954242509,3.911243673,3.84267609,3.860021683,3.882225011,3.860481989,4.100059941,3.902525114,3.862580787,3.912071961
52,6/30/2022,2,1200,1 out of 5,Carpet Area,Lavelle Road,Bangalore,Furnished,Bachelors,1,Contact Agent,4.698970004,4.416219077,4.322219295,4.35152197,4.382440599,4.399711778,4.317346396,4.40097355,4.3608132,4.413113504,4.406613793,4.3833558
53,4/29/2022,2,850,Ground out of 2,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,3.875061263,4.139853844,4.079181246,4.089316187,4.094886129,4.075486042,4.094244031,4.084453943,4.016355897,4.068806863,4.06995526,4.107174271
54,7/5/2022,3,1350,Ground out of 1,Super Area,Thalambur,Chennai,Furnished,Bachelors,3,Contact Owner,4.301029996,4.458376793,4.330413773,4.301574661,4.489287822,4.489386719,4.427760092,4.503343579,4.358196787,4.452480989,4.473641775,4.414087711
55,5/26/2022,1,432,5 out of 8,Carpet Area,"Hiral Greens, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent,4.130333768,4.331756001,4.389166084,4.482478779,4.504019499,4.348132585,4.452073348,4.460702817,4.488882339,4.435297366,4.462173591,4.413459882
56,5/12/2022,2,1200,2 out of 3,Super Area,"Manikonda, Outer Ring Road",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.176091259,4.104403075,4.146128036,4.17828693,4.114417344,4.092236558,4.116730351,4.100521764,4.141834506,4.08241829,4.102096253,4.205429753
57,5/31/2022,2,722,4 out of 7,Carpet Area,"Alpine Apartments, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.653212514,4.662827686,5.45484486,4.632514291,4.659103109,4.623303011,4.642920876,4.636491557,4.755545804,4.601257387,4.642026276,4.635246332
58,7/9/2022,2,840,2 out of 4,Super Area,Old Nallakunta,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.079181246,4.038174073,4.176091259,4.141764884,4.038914161,4.031075119,4.054774628,4.055880423,4.151795271,4.067399805,4.037887417,4.131833499
59,5/26/2022,2,1300,Ground out of 2,Super Area,Annanagar west,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.462397998,4.197261514,4.204119983,4.145326007,4.227611927,4.185880516,4.219815102,4.200303347,4.133093514,4.160240277,4.192556734,4.22349504
60,5/14/2022,3,1150,17 out of 24,Carpet Area,"Benzer Tower, Thakur Complex",Mumbai,Semi-Furnished,Family,3,Contact Agent,4.698970004,4.719761732,5.068185862,4.872832689,4.954685772,4.909391767,5.035525042,4.93934527,4.915885393,4.966140494,4.945213814,4.756065323
61,5/31/2022,1,610,10 out of 10,Super Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.230448921,4.020360467,4.096910013,3.983110107,3.915426543,3.945296738,3.929513315,3.9681443,4.127318351,3.916318382,3.961771259,4.239370084
62,5/30/2022,2,1250,Ground out of 2,Carpet Area,S.Kolathur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.06069784,4.173913033,4.230448921,4.140155774,4.217125374,4.177273125,4.210405124,4.191193519,4.186042194,4.185045396,4.194236354,4.215373292
63,6/16/2022,2,2300,Ground out of 3,Carpet Area,Velachery,Chennai,Furnished,Bachelors,2,Contact Owner,4.447158031,4.383868292,4.301029996,4.325269022,4.521061387,4.478938063,4.434040633,4.492562999,4.522905497,4.51924791,4.490812074,4.402941975
64,4/29/2022,1,596,1 out of 7,Super Area,Kandivali West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.397940009,4.38212191,4.361727836,4.241879984,4.338260134,4.382028675,4.266415931,4.331841916,4.277296807,4.327155748,4.322993843,4.474494787
65,5/18/2022,2,150,Ground out of 4,Carpet Area,Malviya Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent,4.579783597,4.018480078,4.146128036,4.067689508,4.269762399,4.218412174,4.20183677,4.203476207,4.482651916,4.144607337,4.20913518,4.244501167
66,6/6/2022,4,3000,2 out of 4,Carpet Area,Safdarjung Enclave,Delhi,Semi-Furnished,Bachelors,5,Contact Agent,5.041392685,4.643744095,4.330413773,4.690688756,5.123548439,5.185421829,5.139186323,5.184483891,5.230478956,5.235070101,5.19075229,4.822947676
67,7/2/2022,3,1500,2 out of 4,Super Area,"Miyapur, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,4.176091259,4.259748297,4.278753601,4.271648952,4.271598265,4.234211445,4.265732995,4.270926907,4.374298097,4.249737415,4.253514463,4.30569665
68,4/29/2022,2,650,Ground out of 4,Super Area,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,4.602059991,4.510864602,4.361727836,4.400764214,4.478709741,4.374256698,4.436233244,4.461911525,4.579464706,4.4544944,4.444739319,4.454717473
69,7/9/2022,2,680,5 out of 14,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent,4.602059991,4.64654531,4.369215857,4.738324674,4.772359617,4.793132465,4.77295161,4.806623501,4.640933432,4.832619565,4.801444434,4.684647756
70,7/10/2022,3,1157,4 out of 8,Super Area,"Kelambakkam, Old Mahabalipuram Road",Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,4.176091259,4.260165064,4.330413773,4.328954577,4.326744514,4.329863877,4.277431447,4.327684012,4.207827237,4.312464062,4.318461974,4.334035939
71,7/2/2022,2,800,1 out of 4,Super Area,Dr A.S. Rao Nagar,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.146128036,4.100308098,4.227886705,4.127369619,4.068871736,4.058081214,4.089686702,4.086397741,4.104717791,4.065263213,4.068742228,4.147219736
72,7/6/2022,2,600,14 out of 22,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,4.892094603,4.431484727,4.359835482,4.673096544,4.671862737,4.661583046,4.674303863,4.717950915,4.569007613,4.739458798,4.707594633,4.622007242
73,7/9/2022,3,2400,Ground out of 8,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,4.77815125,4.564517958,4.707570176,4.578165128,4.791079779,4.787706548,4.743690113,4.784944317,5.042246616,4.808782506,4.772552079,4.633689634
74,5/31/2022,3,1500,2 out of 6,Carpet Area,Kompally,Hyderabad,Semi-Furnished,Bachelors,3,Contact Owner,4.217483944,4.41655221,4.826074803,4.342066316,4.383154431,4.414532189,4.351321425,4.384195548,4.359609381,4.350520916,4.400421495,4.425662522
75,7/6/2022,3,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,4.079181246,4.033188883,4.113943352,4.096692787,4.056289951,4.068801734,4.045840492,4.070248051,4.023878754,4.074965344,4.04173713,4.18623444
76,4/27/2022,2,600,Ground out of 2,Super Area,Baghajatin,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.954242509,3.879482674,3.84509804,3.952027527,3.84687279,3.859120499,3.857526233,3.858767397,3.937742284,3.793591176,3.842428787,3.972637251
77,6/29/2022,3,900,Ground out of 2,Super Area,Anakaputhur,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.079181246,4.202407184,4.146128036,4.15030109,4.237981101,4.207803202,4.239824964,4.221424854,4.071550799,4.243679393,4.220956195,4.232352347
78,5/30/2022,1,150,Ground out of 2,Super Area,Musheerabad,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,3.84509804,3.795832862,3.77815125,3.677907136,3.802774701,3.740802615,3.793096481,3.743009725,3.754629174,3.715117188,3.733104552,3.684059828
79,5/14/2022,1,65,3 out of 4,Super Area,Lado Sarai,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,3.954242509,3.870132795,4,3.629641853,3.983810614,3.882348083,3.884296593,3.876801666,4.024179748,3.886527516,3.878731653,3.760795025
80,5/12/2022,2,650,2 out of 3,Super Area,Ponniammanmedu,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.176091259,4.124743659,4.041392685,4.097465019,4.091286734,4.07580919,4.102012729,4.085960488,4.03793964,4.06960083,4.09445213,4.139253717
81,4/29/2022,2,70,2 out of 4,Super Area,"IGNOU Road, Saket",Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,4.113943352,4.053349845,4.041392685,3.72282098,4.075318574,3.974381722,3.964596208,3.976453702,4.030326161,3.961042021,3.97346812,3.932288165
82,6/18/2022,2,700,Ground out of 1,Super Area,Pattabiram,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,3.795880017,4.030786976,4.079181246,4.02564009,4.063426469,4.050393557,4.068505469,4.048298711,4.097521137,4.018492834,4.040617525,4.074416608
83,5/28/2022,1,500,2 out of 5,Super Area,Palam - Dabri Marg,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,4.041392685,4.017838501,4.113943352,3.899702601,3.972705488,4.011674643,3.989847758,3.993862291,4.00879855,3.997563023,3.994249658,3.890822105
84,5/6/2022,2,550,1 out of 3,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Unfurnished,Bachelors,1,Contact Owner,3.903089987,4.083961198,3.903089987,3.973451747,3.958757462,3.973862753,3.962622387,3.979445844,3.955347951,4.002285884,3.982248498,4.041127836
85,7/9/2022,2,1100,2 out of 4,Super Area,"Miyapur, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.204119983,4.125006453,4.187520721,4.177313025,4.131791056,4.108842111,4.142409446,4.145141471,4.17933766,4.158318252,4.126929229,4.212184107
86,5/12/2022,2,930,5 out of 5,Super Area,Langar Houz,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4.146128036,4.093094184,4.167317335,4.183368945,4.096136775,4.105820621,4.112297867,4.105473123,4.096776809,4.086780718,4.110141553,4.239370084
87,6/10/2022,2,840,3 out of 5,Super Area,"Bolarum, Medchal Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,4.230448921,4.102869157,4.1430148,4.239665,4.160979373,4.174611663,4.147604698,4.165965197,4.126155664,4.166132228,4.170916708,4.203886542
88,5/16/2022,2,800,1 out of 1,Carpet Area,East Coast Road,Chennai,Unfurnished,Family,2,Contact Owner,4.041392685,4.064924368,4.068185862,4.075096931,4.084399576,4.083054264,4.085613564,4.035075474,4.131616554,4.094407472,4.056048063,4.239370084
89,4/28/2022,1,175,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,3.51851394,3.669119369,3.602059991,3.698227902,3.720509928,3.69902559,3.725324907,3.686537067,3.681102892,3.722068031,3.668309743,3.69142444
90,6/25/2022,3,1800,1 out of 3,Super Area,Prashanth hills,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Owner,4.397940009,4.464382199,4.875061263,4.328019014,4.44607375,4.406467942,4.397722375,4.408968951,4.478314278,4.419832981,4.411087096,4.447678639
91,6/8/2022,3,1600,2 out of 5,Super Area,Attapur,Hyderabad,Semi-Furnished,Family,3,Contact Owner,4.217483944,4.416236849,4.838849091,4.342680869,4.404127537,4.413372204,4.368570826,4.344374784,4.334308628,4.348586182,4.349298018,4.421686774
92,6/23/2022,2,750,2 out of 8,Carpet Area,"Techno Park I, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent,4.602059991,4.596280263,4.474216264,4.634627339,4.664975579,4.595466456,4.650019677,4.600386954,4.790039341,4.614632715,4.609596154,4.581832828
93,4/30/2022,2,800,2 out of 3,Super Area,Chandrayanguttabalguda,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,3.84509804,4.036598052,3.977723605,4.033463416,3.957315571,3.938130743,3.967195133,3.968348016,4.121613057,3.939572565,3.963670064,4.044891036
94,6/21/2022,1,440,3 out of 4,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3.875061263,3.999111867,3.903089987,3.881740498,3.879772262,3.891550364,3.903483035,3.907780515,4.029984963,3.882100345,3.90948654,3.910928363
95,6/12/2022,2,800,6 out of 7,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,4.755874856,4.601590063,4.477121255,4.655138869,4.675462132,4.706941618,4.662783341,4.658075658,4.814810733,4.693412354,4.661744043,4.664510882
96,7/9/2022,3,1100,6 out of 12,Carpet Area,Waterfield Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,5.146128036,4.755212958,5.06069784,4.822254921,4.944199218,4.965137469,5.019034387,4.938491715,4.988966459,4.969754149,4.931467221,4.786558261
97,6/20/2022,1,550,2 out of 5,Carpet Area,Chinnapanna Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4.204119983,4.008039853,4.146128036,4.081220553,4.068135411,4.080605887,4.049698841,4.080973748,4.205092327,4.067694204,4.088640327,4.23152002
